X,Y,COUNTRY,STATE,NAME,PRODUCT,SIC,SIC2,SIC3,SIC4,NAICS,NAICS DESCR,WEB,LONGITUDE,LATITUDE,GlobalID
-149.8379576,61.1468809,United States of America,AK,"ACTION SECURITY, INC.","HOLLOW METAL DOORS, DOOR FRAME ASSEMBLY, LOCKS & KEYS, HARDWARE & SECURITY ALARM SYSTEMS",3442,3429,3669,N/A,332321,METAL WINDOW AND DOOR MANUFACTURING,WWW.ACTIONSECURITY.COM,-149.8379576,61.1468809,577cc9e8-faa7-45c2-afc5-3792308ec21e
-147.7609374,64.847164,United States of America,AK,FLOWLINE ALASKA,INSULATED STEEL & PLASTIC PIPE,3317,3084,N/A,N/A,332996,FABRICATED PIPE AND PIPE FITTING MANUFACTURING,WWW.FLOWLINEALASKA.COM,-147.7609374,64.847164,a7cae09b-e01a-4746-aeae-ef471c1f5e7e
-149.1088536,61.5831709,United States of America,AK,"J.D. STEEL CO., INC.",LIGHT STRUCTURAL STEEL & REBAR FABRICATION,3441,3449,N/A,N/A,332312,FABRICATED STRUCTURAL METAL MANUFACTURING,WWW.JDSTEEL.COM,-149.1088536,61.5831709,6e084987-ce2c-4254-b207-fcf16c72305d
-147.7632303,64.8545744,United States of America,AK,"HOLADAY-PARKS, INC",SHEET METAL FABRICATION,3444,N/A,N/A,N/A,332322,SHEET METAL WORK MANUFACTURING,WWW.HOLADAYPARKS.COM,-147.7632303,64.8545744,18d84629-90de-4ecd-8533-7fd91ff1e84f
-149.8519561,61.1472488,United States of America,AK,"AAA FENCE, INC.",METAL & WOODEN GATES,3496,2499,N/A,N/A,332323,ORNAMENTAL AND ARCHITECTURAL METAL WORK MANUFACTURING,WWW.AAAFENCEAK.COM,-149.8519561,61.1472488,f21a5b95-733a-4f65-9a3e-6389ef8d993f
-147.6775886,64.8169091,United States of America,AK,"GREER TANK & WELDING, INC.","CORPORATE HEADQUARTERS & STEEL, PLASTIC & ALUMINUM STORAGE TANKS",3443,3312,3444,N/A,332420,METAL TANK (HEAVY GAUGE) MANUFACTURING,WWW.GREERTANK.COM,-147.6775886,64.8169091,071bc4cc-2f5f-4d4f-bee5-6a5ee69ca45a
-147.7517523,64.8156364,United States of America,AK,"ARCHITECTURAL METAL PRODUCTS, INC.",CORPORATE HEADQUARTERS & STANDING SEAM METAL ROOFING,3444,N/A,N/A,N/A,332322,SHEET METAL WORK MANUFACTURING,WWW.AMPUSA.COM,-147.7517523,64.8156364,76972f71-1a7c-44d5-a454-8a7327bf0433
-151.2422985,60.5662341,United States of America,AK,GLM CORP.,"CNC MACHINING JOB SHOP, INCLUDING GAS TURBINES & GAS COMPRESSORS",3599,3511,N/A,N/A,332710,MACHINE SHOPS,WWW.GLMCORP.COM,-151.2422985,60.5662341,220c24ed-d578-4284-9751-eb01618397c9
-149.8783163,61.1399825,United States of America,AK,"UNIQUE MACHINE, LLC",MACHINING & WELDING JOB SHOP,3599,N/A,N/A,N/A,332710,MACHINE SHOPS,WWW.UMALASKA.COM,-149.8783163,61.1399825,4e478ff6-6092-4a5f-a754-3eae990fc0ed
-149.8397511,61.2270069,United States of America,AK,"RJH, INC.",METAL FABRICATION,3499,N/A,N/A,N/A,332710,MACHINE SHOPS,WWW.STEELFABAK.COM,-149.8397511,61.2270069,572c5c8d-24dd-4fde-9cdb-daa2d7ac62d2
-149.8581795,61.2172712,United States of America,AK,ALASKA SALES & SERVICE,REBUILT AUTOMOBILE ENGINES,3714,N/A,N/A,N/A,332710,MACHINE SHOPS,WWW.ALASKASALESANDSERVICE.COM,-149.8581795,61.2172712,1cc62c78-ceae-44ae-ab67-a82e14024c52
-149.8797197,61.1732912,United States of America,AK,"CENTRAL PLUMBING & HEATING, INC.",INDUSTRIAL PIPE & CUTTING OF PIPES FOR PLUMBING & HEATING,3498,N/A,N/A,N/A,332996,FABRICATED PIPE AND PIPE FITTING MANUFACTURING,WWW.THEWARMGUYS.COM,-149.8797197,61.1732912,0c239764-c0b4-4a05-abd1-7d7ba3ef10c0
-149.8783065,61.138223,United States of America,AK,"GENERAL MECHANICAL, INC.",SHEET METAL FABRICATION,3444,N/A,N/A,N/A,332322,SHEET METAL WORK MANUFACTURING,WWW.GMIALASKA.COM,-149.8783065,61.138223,ab60df07-db32-4179-ba80-5f65135d1aea
-149.9031425,61.1660512,United States of America,AK,ALASKA STEEL CO.,COMPANY HEADQUARTERS & REBAR FABRICATION & DISTRIBUTOR OF STEEL & ALUMINUM,3449,5051,N/A,N/A,332999,ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,WWW.ALASKASTEEL.COM,-149.9031425,61.1660512,c129cee9-ec4a-49d4-b6c9-37a69043f453
-149.8674958,61.1680816,United States of America,AK,ALASKA RUBBER & SUPPLY,"HYDRAULIC & INDUSTRIAL HOSE ASSEMBLIES, GASKETS, CONVEYOR BELTS & LUBRICATING EQUIPMENT",3492,3053,3535,3559,332912,FLUID POWER VALVE AND HOSE FITTING MANUFACTURING,WWW.ALASKARUBBER.COM,-149.8674958,61.1680816,78d7249a-d629-4f9c-83ae-a555008631c3
-149.8388935,61.1633546,United States of America,AK,CAPITOL GLASS/NORTHERM WINDOWS,"VINYL WINDOWS, SEALED INSULATING GLASS UNITS, TUB & SHOWER DOORS, GARDEN DOORS, COMMERCIAL ALUMINUM & AUTO GLASS",3089,N/A,N/A,N/A,332321,METAL WINDOW AND DOOR MANUFACTURING,WWW.CGNW.COM,-149.8388935,61.1633546,0e2b9965-f9a4-4990-9c88-39e430961da8
-149.8732547,61.2245711,United States of America,AK,ALASKA SHEET METAL,CONSTRUCTION SHEET METAL FABRICATION,3444,N/A,N/A,N/A,332322,SHEET METAL WORK MANUFACTURING,WWW.AKSHEETMETAL.COM,-149.8732547,61.2245711,ea723de0-f487-4d26-8458-d1ed398d2cbc
-149.8875976,61.1955906,United States of America,AK,"PRICEGREGORY INTL., INC - ALASKA DIV","EPC PIPELINE SYSTEMS, INCLUDING LARGE INDUSTRIAL COMPLEX CONSTRUCTION, MECHANICAL & ELECTRICAL ASSEMBLIES",3498,N/A,N/A,N/A,332996,FABRICATED PIPE AND PIPE FITTING MANUFACTURING,WWW.PRICEGREGORY.COM,-149.8875976,61.1955906,b16f5361-1353-44d4-bbb6-b9dc06085592
